school,EdgesPerNode,assortativity,global_efficiency,local_efficiency,avg_path_over_diameter,clique_integration,sigma,omega,pagerank,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering
Hawaii,1.0857142857142856,0.07458143074581432,0.1913445378151263,0.28955782312925166,0.4710144927536232,0.2571428571428571,3.249071527723213,0.14692307692307682,0.010949075694401917,0.04,0.0014922180185664472,0.23210526315789476,0.03346938775510204,0.0
Idaho,0.75,-0.07103825136612092,0.10185185185185185,0.2726190476190476,0.5181818181818182,0.14285714285714285,2.3178137651821857,0.056539074960127556,0.0033936651583710625,0.0,5.812385956039157e-14,0.0,0.0,0.0
Illinois,3.3125,0.15482487815928392,0.31029970760234576,0.42515256507537286,0.5206962025316455,0.65625,3.5185084018740236,0.13085232728535623,0.035357766454318186,0.28,0.24454709565640934,0.43555555555555553,0.017351239463484366,0.6703296703296703
IowaState,3.440677966101695,0.03550339966372222,0.35591737201905826,0.5661244739909295,0.4239520132377275,0.6864406779661016,6.234987803811369,-0.06275034472313512,0.04643544263560871,0.3,0.2629930753668734,0.441,0.015404616507731438,0.6571428571428571
KState,3.8282828282828283,-0.15686896479952855,0.3369717584003446,0.5965148088230582,0.4766382603585072,0.7676767676767676,4.821973285355555,-0.18961187998889273,0.04472855104834981,0.3,0.2421792479429849,0.4642105263157895,0.11632921077013454,0.5619047619047619
Kentucky,1.2075471698113207,-0.14583333333333334,0.18850991775519924,0.3229859239293202,0.5347847847847848,0.1320754716981132,3.696656543763711,0.24633752677739584,0.0102609548520732,0.1,0.08383290918031618,0.32666666666666666,0.0008537414965986396,0.8
LouisianaState,1.1379310344827587,-0.08783642812434807,0.22298850574712664,0.3949096880131363,0.5305263157894736,0.1724137931034483,3.345507657990638,-0.13035714285714284,0.004335149540833033,0.02,0.002715328975523799,0.2538129496402878,0.0,0.0
MU,3.4545454545454546,0.09716786466622483,0.35094914663880855,0.547528413418511,0.5201465201465202,0.7954545454545454,4.055522113474053,-0.07081291715836124,0.0453726910249955,0.3,0.24488534025162242,0.4302439024390244,0.07343733209146744,0.5714285714285714
Maine,0.9,-0.453416149068323,0.38333333333333336,0.14333333333333334,0.49107142857142855,0.3,1.1843584617193934,0.6998484848484847,0.0033936651583710625,0.0,5.812385956039157e-14,0.0,0.0,0.0
Maryland,0.8974358974358975,0.09287257019438439,0.08297345928924871,0.31782661782661786,0.4333333333333333,0.23076923076923078,1.7438979367561795,-0.14768009768009738,0.005271250593648328,0.02,0.0014996639786178719,0.21777777777777776,0.0,0.0
Massachusetts,1.0625,0.13527039139527933,0.13595808004052648,0.30098655202821867,0.3982951205173427,0.1875,3.8569994642482968,-0.009163298775844986,0.004297717375352441,0.02,0.002123874971407395,0.245,0.0,0.0
Michigan,2.8520710059171597,-0.0008435390896602625,0.3095318600812819,0.4021816687806063,0.44712276970341486,0.5621301775147929,9.162951512497685,0.2616872481113981,0.05829966234757882,0.32,0.26582440459639595,0.45818181818181813,0.032430658075663456,0.6
Minnesota,2.6713286713286712,0.009399413866196185,0.28530307720446274,0.41443062855360696,0.4081569881889764,0.5874125874125874,7.315334744220168,0.16209933395991172,0.050309884131015205,0.32,0.2595433667510315,0.47040000000000004,0.045713769104746546,0.5666666666666667
Mississippi,2.1346153846153846,0.051823133611021824,0.28064353946707193,0.38141768843691914,0.5025641025641026,0.5769230769230769,2.4896570028235203,0.14885376528233651,0.014632292172063032,0.16,0.108692589644328,0.3563636363636364,0.0038091998704243594,0.5
MontanaState,1.7619047619047619,-0.26151614073268065,0.3179857308777157,0.4265645399573971,0.4072562358276644,0.30952380952380953,3.340183338806108,0.08648916249138972,0.014569404271637757,0.08,0.010715572592473006,0.29647058823529415,0.011621315192743762,0.16666666666666666
Nebraska,3.623853211009174,-0.015404811084984406,0.34529108619324317,0.5133258441354558,0.45567711620730766,0.6972477064220184,4.566960580440664,0.02366263471483121,0.038745838269736856,0.3,0.24491877762965136,0.441,0.026806454197431644,0.5619047619047619
Nevada,1.1111111111111112,0.5634920634920633,0.21906318082788678,0.4083333333333333,0.45090909090909087,0.3333333333333333,1.5578916477976128,-0.41500488758553256,0.006690842766886043,0.02,0.0006649125465810113,0.20752941176470588,0.0,0.0
NewHampshire,0.0,,0.0,0.0,,0.0,,,0.0033936651583710625,0.0,5.812385956039157e-14,0.0,0.0,0.0
NewMexico,2.3,-0.1462330369677125,0.38034482758620647,0.49969365819365824,0.44333333333333336,0.6333333333333333,2.0980128501708615,-0.13158844664107805,0.006521407899033662,0.04,0.017143958329955144,0.30153846153846153,0.0035204081632653063,0.0
NorthCarolina,2.6289308176100628,0.0100807837981315,0.28216020107585765,0.3797037205636071,0.4622629393381566,0.3584905660377358,8.349427769821352,0.2156512794849631,0.055555757942197664,0.32,0.26590227434060654,0.45230769230769224,0.020058835304807378,0.5833333333333334
NorthDakota,3.0,0.08163051207031093,0.3146386946386921,0.4746072313383975,0.4022738268021287,0.6666666666666666,2.858261121810449,-0.04527074891438487,0.013589036290497482,0.1,0.042133080057327306,0.34252427184466017,0.010262948651777867,0.4
OKState,1.32,0.0002398081534765928,0.20008940719144644,0.3521349206349207,0.43721488595438174,0.2,4.3963936938062,0.08138590966315107,0.010927825676564943,0.04,0.01901050998594318,0.312212389380531,0.0653061224489796,0.0
OhioState,1.0847457627118644,0.28457501192829393,0.1451740836603479,0.20064568200161423,0.46190476190476193,0.0847457627118644,3.594899560129851,0.6249059073801342,0.008005653394325702,0.08,0.0642969710414169,0.3236697247706422,0.0003599257884972171,0.8333333333333334
Oregon,1.056338028169014,-0.021321889572210536,0.14252668971984853,0.2073105298457411,0.3889597505668934,0.07042253521126761,4.142598094375162,0.3966794265268766,0.00908259125771722,0.1,0.03707839992156488,0.3563636363636364,0.013339488176222868,0.1
PennState,1.2702702702702702,0.2398189142834353,0.13900319105798678,0.30610545610545614,0.4119162640901772,0.1891891891891892,3.4362560810366998,0.04492744793591252,0.019445808790248813,0.12,0.03480354848383304,0.36,0.0561366467999121,0.0
Purdue,2.034188034188034,-0.03047414257784634,0.27112191767363747,0.3264894989467639,0.49840397697540556,0.3504273504273504,7.110885294986899,0.30819409386525776,0.044349735330175326,0.3,0.2299387101824211,0.43555555555555553,0.041269220158049374,0.49523809523809526
RhodeIsland,0.2,,0.1,0.0,1.0,0.0,,,0.0033936651583710625,0.0,5.812385956039157e-14,0.0,0.0,0.0
Rutgers,1.3414634146341464,0.02641773377811188,0.24488675958188116,0.2473819202477739,0.4049899193548387,0.2682926829268293,2.725279668230621,0.3185679159135132,0.006454893555372066,0.06,0.02295578901469794,0.3392307692307692,0.0071617505301715826,0.0
SouthDakota,1.6774193548387097,-0.06778672266946756,0.29605734767025116,0.23785202252944193,0.5474308300395256,0.2903225806451613,1.3612859827061612,0.4171250308316703,0.008452433729385166,0.08,0.04326612088880407,0.3392307692307692,0.009464528668610299,0.5
TexasA&M,2.446280991735537,0.029950611455763863,0.27443755739211273,0.38906384303558267,0.5090107240307126,0.5867768595041323,6.52085821442742,0.19523176575843537,0.031015531016848657,0.28,0.20902868084561851,0.41505882352941176,0.0415116308086233,0.45054945054945056
UArk,2.4545454545454546,-0.3307283594366559,0.34444634313054623,0.5881871075052892,0.45481670929241264,0.6363636363636364,7.136132256966187,-0.09310835212897062,0.019872694643696294,0.16,0.13057458850246487,0.36371134020618556,0.0027054895218160523,0.6428571428571429
UCDavis,2.4465116279069767,0.12262523303869693,0.23499104749487404,0.3963326936457627,0.44241277847835225,0.5720930232558139,10.593878090360995,0.16869935728380336,0.043477621330160705,0.3,0.23027221795108913,0.45818181818181813,0.08405954732700169,0.5047619047619047
UCRiver,1.3950617283950617,0.227911300214658,0.17449245541838462,0.24722147993752927,0.42743035262030005,0.12345679012345678,4.632866763919519,0.2061175085594532,0.013507153456617998,0.1,0.027222796101644915,0.34252427184466017,0.042448979591836744,0.1
UTenn,2.6184210526315788,0.034624521714106814,0.32539849624059725,0.5553611136010925,0.423429073121786,0.6578947368421053,5.120971168988861,-0.18394338041264358,0.017638028257331528,0.16,0.11199160326561022,0.38347826086956516,0.018406125620411332,0.4642857142857143
UtahState,0.9230769230769231,0.3875236294896023,0.07804768331084115,0.24442409442409443,0.5227272727272727,0.20512820512820512,1.5839284593224001,-0.08364012798795417,0.0033936651583710625,0.0,5.812385956039157e-14,0.0,0.0,0.0
Vermont,0.6875,0.23255813953488483,0.1138888888888889,0.33333333333333337,0.5666666666666667,0.1875,1.5977456851003873,0.4774509803921572,0.0033936651583710625,0.0,5.812385956039157e-14,0.0,0.0,0.0
VirginiaTech,1.7560975609756098,-0.027895604911343023,0.25500877054625964,0.3235050857002077,0.38472509776857605,0.3048780487804878,6.386043856731439,0.24258202716483346,0.016303900528976473,0.18,0.11214964116278214,0.37136842105263157,0.01338159560930775,0.4166666666666667
WashState,3.4676258992805757,0.12967902652441726,0.3181057638361101,0.42385430841582455,0.42208294930875573,0.6762589928057554,4.739120203369833,0.17824860463461056,0.029324798879511393,0.24,0.1894434519416629,0.42506024096385536,0.02288578619137158,0.5303030303030303
WestVirginia,0.5294117647058824,-0.08620689655172432,0.11213235294117646,0.0,0.5238095238095238,0.0,,1.1136363636363635,0.0033936651583710625,0.0,5.812385956039157e-14,0.0,0.0,0.0
Wisconsin,1.9781021897810218,0.01799260807174137,0.229804756452449,0.4227576505678697,0.43724382408330564,0.2116788321167883,10.893669075723261,-0.00969255422068227,0.05095464251989595,0.32,0.2727732818201139,0.4642105263157895,0.04951636417049951,0.625
Wyoming,0.8,-0.16387959866220683,0.2095238095238095,0.20555555555555557,0.5833333333333334,0.26666666666666666,3.5120285120285124,0.33558201058201065,0.010443565394099914,0.04,0.008522572078355736,0.2734883720930233,0.03346938775510204,0.0
